219001,32,43,20,58,67
219002,86,11,56,,
219003,30,3,14,74,17
219004,54,16,27,11,25
219005,32,88,70,37,55
219006,88,35,21,11,
219007,32,14,43,39,31
219008,58,32,19,56,
219009,17,67,20,33,21
219012,77,35,72,2,53
219013,72,,,,
219014,11,19,,,
219015,25,10,51,65,11
219016,6,7,13,31,44
219017,35,21,11,86,
219018,73,72,52,54,55
219019,76,83,70,88,59
219020,52,72,7,,
219022,8,55,,,
219023,10,7,5,,
219025,5,11,55,91,25
219026,55,39,43,10,
219027,72,32,52,54,91
219030,25,55,80,72,6
219033,8,44,16,33,85
219034,5,49,65,11,80
219035,38,44,43,10,90
219036,42,,,,
219037,66,55,,,
219038,45,39,13,90,
219039,11,80,27,5,39
219040,33,8,,,
219041,72,67,,,
219042,53,2,18,30,
219043,55,58,83,,
219045,43,73,44,24,45
219046,18,2,,,
219049,2,87,73,76,19
219050,20,87,73,79,
219051,54,17,88,43,58
219052,2,48,54,23,5
219053,79,32,11,86,73
219054,25,73,63,78,
219056,32,58,35,25,
219057,2,18,89,,
219058,55,60,17,,
219059,8,33,85,66,69
219060,11,37,87,,
219061,38,10,91,32,35
219062,43,73,39,27,45
219064,72,11,91,54,69
219065,8,32,38,33,86
219066,27,58,43,,
219069,30,38,76,51,60
219070,19,50,53,,
219071,30,43,78,,
219072,46,,,,
219073,53,21,2,,
219074,25,73,79,33,
219075,14,84,29,74,24
219076,87,65,64,56,11
219078,45,38,73,55,53
219079,25,73,19,90,
219082,73,32,35,79,89
219083,18,2,50,48,30
219084,11,72,56,91,87
219085,72,35,65,55,37
219086,47,46,59,,
219087,35,89,73,2,
219088,72,21,32,73,
219089,10,77,25,53,
219090,67,43,59,46,
219092,8,33,72,66,
219093,29,75,36,,
219095,62,74,23,50,26
219096,32,58,35,25,
219097,8,29,27,43,
219098,7,38,78,48,
219099,30,,,,
219100,84,17,33,85,8
219101,17,25,51,56,
219102,25,19,46,47,55
219103,32,77,83,80,,
219104,43,78,6,31,
219105,10,38,,,
219106,68,82,,,
219107,58,70,55,,
219108,20,16,47,,
219109,69,25,87,83,54
219110,25,31,39,45,
219111,73,43,89,58,39
219112,72,32,88,11,
219113,17,35,72,,
219114,73,70,,,
219115,55,70,83,87,19
219116,72,25,54,77,80
219117,8,85,23,24,33
219119,73,79,80,31,21
219120,63,3,78,23,30
219121,73,14,6,39,
219122,20,16,47,52,36
219123,20,16,,,
219124,33,8,55,54,85
219125,24,,,,
219126,79,54,38,86,
219127,48,,,,
219129,38,73,72,54,
219130,33,85,79,60,78
219131,20,24,29,,
219132,25,2,73,5,
219133,73,58,39,,
219134,17,64,84,47,
219136,48,31,11,23,
219137,8,,,,
219138,74,3,36,46,
219139,24,85,20,27,52
219141,54,86,51,35,49
219142,24,33,8,20,47
219143,54,72,32,55,73
219145,52,72,29,30,
219146,27,19,69,39,
219147,24,43,67,84,73
219148,25,73,17,79,
219149,32,21,38,91,
219152,31,43,6,39,24
219153,72,20,74,,
219154,66,80,37,65,21
219155,84,73,79,,
219156,91,25,58,32,
219157,53,2,48,,
219158,17,19,38,,
219159,25,32,5,,
219160,54,19,32,,
219161,67,88,,,
219162,11,72,65,32,66
219163,31,43,,,
219164,55,83,80,,
219165,27,80,37,2,
219166,2,18,,,
219167,25,32,35,71,
219169,20,47,16,73,
219170,35,5,70,31,51
219171,25,32,5,10,
219173,45,31,39,43,90
219174,86,11,64,5,
219175,24,,,,
219176,21,66,63,35,91
219177,88,32,25,51,
219178,54,50,52,15,46
219179,20,16,,,
219180,72,38,73,87,55
219181,58,66,11,35,91
219182,11,,,,
219185,43,31,39,6,
219186,81,29,,,
219188,63,41,,,
219190,11,25,32,,
219191,70,66,78,33,38
219193,18,47,23,,
219195,25,49,73,58,51
219196,2,50,23,,
219198,16,54,27,11,25
219199,6,24,31,,
219200,20,16,47,,
219202,35,32,73,55,55
219203,16,29,46,52,
219204,84,85,89,,
219205,3,53,2,18,26
219206,25,35,,,
219207,27,73,69,19,91
219208,32,56,58,77,
219209,25,32,20,,
219210,86,11,17,72,
219211,40,16,81,,
219212,26,50,51,8,86
219213,43,27,73,,
219214,79,58,44,43,11
219215,73,91,32,,
219216,23,3,75,,
219217,67,29,72,43,73
219218,54,89,72,25,32
219219,79,32,65,11,25
219220,73,58,32,67,72
219221,73,27,51,5,
219222,54,19,7,,
219223,32,25,69,79,87
219225,25,32,69,71,77
219226,2,3,,,
219227,29,28,14,81,36
219228,21,35,56,,
219229,65,25,11,38,
219230,25,58,73,79,69
219231,51,23,48,50,
219232,79,67,66,,
219234,17,5,11,72,73
219235,19,5,79,,
219237,72,2,53,70,56
219238,54,56,88,58,51
219239,25,35,56,73,79
219240,24,47,74,84,52
219241,43,27,73,,
219242,70,43,72,56,51
219243,20,81,29,47,
219246,24,78,41,6,
219249,10,21,13,38,
219250,54,58,77,70,25
219252,43,31,44,30,55
219253,5,11,,,
219254,84,20,,,
219255,53,2,30,3,
219256,55,70,5,,
219257,54,79,72,73,88
219258,24,84,,,
219259,31,6,43,,
219260,17,42,,,
219261,16,20,47,46,67
219262,45,51,31,44,43
219263,54,32,5,58,
219264,32,72,79,65,35
219265,72,,,,
219266,20,16,47,,
219267,20,,,,
219268,73,54,32,27,7
219269,70,11,35,21,
219270,29,24,84,28,20
219271,73,87,79,88,65
219272,56,21,35,37,27
219273,55,83,80,,
219274,10,63,17,38,19
219275,70,83,67,43,91
219276,70,83,67,43,91
219277,19,27,,,
219278,72,77,55,35,
219279,55,70,5,11,
219280,43,31,55,30,
219282,60,23,48,,
219283,3,30,,,
219284,43,31,90,6,
219286,84,24,52,29,
219287,13,86,55,78,79
219289,39,31,,,
219290,38,72,37,63,32
219291,55,59,70,83,
219292,3,,,,
219293,24,,,,
219294,25,83,17,77,
219295,11,25,27,78,
219297,33,32,73,58,91
219298,25,73,86,43,5
219299,32,88,37,65,49
219300,81,14,,,
219301,38,43,73,,
219302,25,72,37,10,38
219303,6,15,24,27,31
219304,44,90,6,31,43
219305,35,91,83,25,32
219306,79,25,65,32,27
219307,20,16,29,47,
219309,79,63,73,5,54
219311,54,87,32,72,73
219312,53,2,48,18,50
219313,24,17,67,73,
219314,72,32,8,85,
219315,27,25,91,78,83
219317,72,54,5,11,32
219318,54,25,32,27,
219319,5,65,86,78,43
219321,10,25,35,79,43
219322,73,,,,
219323,58,25,32,73,
219324,70,88,43,11,
219325,85,24,84,,
219326,2,18,53,26,
219327,32,,,,
219329,73,79,67,43,58
219330,91,85,78,66,67
219331,25,49,43,56,65
219332,20,,,,
219333,73,79,86,38,
219334,59,32,46,21,
219335,54,,,,
219336,27,72,86,38,
219337,72,73,54,25,32
219338,15,41,7,,
219341,32,66,71,11,
219343,32,5,43,,
219344,29,8,18,,
219345,73,39,6,31,
219346,54,72,76,,
219348,10,5,7,13,
219349,25,54,79,91,65
219350,44,,,,
219351,37,79,65,21,67
219353,55,5,44,19,25
219354,79,32,17,5,25
219356,73,58,67,89,32
219357,78,39,6,43,
219358,54,5,32,51,77
219359,16,20,47,,
219360,66,72,35,56,70
219361,27,24,,,
219362,20,29,17,31,39
219363,39,45,6,,
219364,72,,,,
219365,88,16,59,70,55
219366,80,83,55,70,87
219367,25,91,58,79,66
219368,29,84,3,52,
219369,17,24,27,7,
219370,8,23,73,24,43
219371,38,,,,
219373,58,56,25,21,54
219374,73,79,70,54,39
219375,73,43,27,19,25
219376,54,56,38,73,
219377,72,91,11,35,56
219378,65,19,54,37,86
219379,84,79,87,,
219380,63,78,2,13,3
219381,77,5,,,
219382,20,52,40,,
219383,86,56,54,32,11
219384,72,58,32,86,
219385,73,43,68,31,
219386,6,30,27,31,
219387,8,25,73,85,33
219388,91,71,80,2,
219389,43,67,39,31,80
219390,29,8,18,,
219391,91,11,21,51,
219392,32,54,11,25,5
219393,38,43,78,31,
219394,73,45,70,54,80
219395,58,39,73,43,31
219396,25,35,22,,
219397,79,43,25,31,70
219398,8,85,24,73,
219399,79,51,39,38,43
219400,32,38,,,
219401,81,40,,,
219402,25,73,17,35,
219403,37,5,11,22,49
219404,2,53,73,,
219405,19,64,5,,
219406,25,6,,,
219407,8,59,29,76,
219408,27,24,67,39,31
219409,17,25,,,
219410,72,55,32,11,
219411,8,69,91,85,44
219412,3,25,10,38,17
219414,25,73,38,10,45
219415,82,68,,,
219416,51,78,3,,
219417,25,65,11,,
219418,35,21,18,,
219419,65,11,25,66,
219420,89,91,11,83,
219421,10,55,,,
219422,8,78,20,73,79
219423,2,32,35,,
219424,73,25,,,
219425,73,38,25,32,
219426,5,11,37,,
219427,37,11,39,35,54
219428,29,62,75,3,81
219429,60,38,37,11,63
219430,25,69,,,
219431,27,25,19,54,79
219433,25,21,6,,
219434,53,71,89,77,
219435,32,37,77,2,
219436,54,32,19,56,11
219437,23,3,53,,
219438,55,70,5,11,
219439,37,5,78,10,
219440,73,19,25,38,5
219441,54,81,62,,
219442,60,48,63,51,
219443,54,11,17,70,
219444,31,13,10,11,7
219446,25,56,35,67,70
219447,79,25,11,67,
219449,25,58,,,
219453,77,32,33,,
219455,24,,,,
219456,20,8,46,,
219457,7,3,60,78,40
219458,73,51,,,
219459,53,2,18,30,
219460,25,73,79,39,58
219461,27,24,17,,
219462,84,74,8,33,
219463,44,73,90,,
219464,3,30,,,
219465,68,42,17,,
219466,25,32,11,19,
219467,54,32,19,11,56
219468,25,10,72,73,32
219469,2,,,,
219470,32,11,72,87,91
219471,91,54,56,58,5
219472,32,86,11,54,
219473,47,16,67,69,
219474,72,32,37,83,
219475,90,39,43,,
219476,5,10,,,
219477,68,15,,,
219478,20,16,72,73,
219479,50,63,3,60,51
219480,24,,,,
219481,25,11,5,27,19
219482,58,73,78,37,43
219483,11,77,49,56,65
219484,43,79,54,73,32
219485,56,50,,,
219486,83,80,86,71,
219487,29,75,28,,
219488,50,51,63,,
219489,52,76,,,
219490,43,31,6,39,
219491,74,3,,,
219492,37,,,,
219493,20,33,,,
219494,38,73,,,
219495,81,40,,,
219498,54,21,,,
219499,2,,,,
219500,78,63,60,,
219501,37,32,35,,
219502,58,32,17,,
219503,13,,,,
219507,91,87,25,56,65
219508,68,,,,
219509,74,20,47,84,16
219510,72,54,32,,
219512,3,2,67,,
219372,72,,,,
219496,8,,,,
219511,11,77,25,,