1,4,747394,747178,747082,747084,747105,747150,747388,747343,747400,747451,747076,747024,747085,747049,747426,747390,747200,747263,747191,747270
2,4,747152,747047,747440,747413,,,,,,,,,,,,,,,,
3,5,747052,747098,747003,747360,747004,747170,747027,747327,747279,747201,747116,747263,747391,747446,747277,747008,747375,747288,747096,
5,4,747308,747094,747115,747295,747301,747235,747129,,,,,,,,,,,,,
6,1,747455,747056,747313,,,,,,,,,,,,,,,,,
7,4,747426,747361,747127,747183,747109,747110,747182,747098,,,,,,,,,,,,
8,5,747375,747156,747275,747158,747375,,,,,,,,,,,,,,,
9,4,747450,747455,747342,747167,747190,747377,747031,747275,747340,747374,747105,747411,747193,747010,747255,747445,747394,747387,747413,747384
10,3,747254,747127,747305,,,,,,,,,,,,,,,,,,,
11,2,747374,747286,747231,747221,747184,747260,747355,747087,747345,747210,,,,,,,,,,,
12,3,747193,747377,747173,747452,747424,747381,747145,747002,747279,747057,747054,747379,,,,,,,,,
13,4,747436,747114,747307,800002,747433,747244,,,,,,,,,,,,,,,
14,2,747433,747435,,,,,,,,,,,,,,,,,,,
15,3,747433,747307,747436,,,,,,,,,,,,,,,,,,
16,3,747254,747203,747127,747287,747239,,,,,,,,,,,,,,,
18,2,747124,747036,747327,,,,,,,,,,,,,,,,,,
19,2,747064,747209,747247,,,,,,,,,,,,,,,,,,
20,3,747353,747072,747147,,,,,,,,,,,,,,,,,,
21,3,747070,747240,747228,747453,747341,747328,747449,747261,747446,747336,747409,747451,747121,747229,747324,,,,,,
22,3,747459,747396,747385,,,,,,,,,,,,,,,,,,
23,2,747374,747231,747359,747210,747355,747221,747141,,,,,,,,,,,,,,
24,4,747024,747292,747170,747053,,,,,,,,,,,,,,,,,
25,2,747243,747097,747418,,,,,,,,,,,,,,,,,,
26,1,747314,,,,,,,,,,,,,,,,,,,,
27,3,747413,747293,747316,747311,747024,747062,747296,747032,747145,,,,,,,,,,,,
28,5,747126,747360,747392,747390,747268,747313,747206,747138,747125,747329,747225,747107,747323,747387,747005,747178,747391,747100,747229,747171,
29,6,747221,747135,747301,747028,747295,747235,747359,747298,747422,,,,,,,,,,,,
30,4,747050,747197,747396,747379,747434,747237,,,,,,,,,,,,,,,
31,6,747311,747449,747142,747308,747294,747426,747293,747183,747453,747258,747136,747430,747201,747408,747015,747107,747173,747096,747076,747109,
32,4,747065,747115,747438,747135,747141,747241,,,,,,,,,,,,,,,
33,4,747455,747112,747234,747148,747021,747040,747167,747010,747150,747120,747039,747031,,,,,,,,,
34,5,747281,747439,747115,747398,747397,,,,,,,,,,,,,,,,
35,3,747284,747435,747359,,,,,,,,,,,,,,,,,,
36,4,747212,747314,747373,747355,,,,,,,,,,,,,,,,,
37,5,747376,747025,747424,747448,747457,747396,747381,747124,747264,747265,747214,747385,747244,747118,,,,,,,
38,5,747322,747122,747222,747300,747238,,,,,,,,,,,,,,,,
39,4,747050,747238,747209,747382,747399,747380,747303,747298,747169,747211,,,,,,,,,,,
40,2,747190,747068,747138,747191,747143,747168,747316,747430,747270,747093,,,,,,,,,,,
41,1,747064,747386,747284,747447,747304,747050,747459,747303,747322,,,,,,,,,,,,
42,2,747254,747238,747070,747122,747147,747203,747210,747415,747419,747417,,,,,,,,,,,
43,5,747301,747094,747356,747374,747439,747298,747347,747362,747365,747291,747434,747290,747115,747422,747192,747069,747355,747056,747095,747401,
44,1,747138,747062,747068,747190,,,,,,,,,,,,,,,,,
45,4,747367,747303,747181,747074,,,,,,,,,,,,,,,,,
46,3,747069,747074,747114,,,,,,,,,,,,,,,,,,
47,2,747342,747084,747083,747062,747038,747082,747168,747068,747306,747263,747068,747004,,,,,,,,,
48,6,747366,747069,747217,747290,747194,747164,747167,,,,,,,,,,,,,,
49,4,747084,747455,747206,747361,747400,747360,747170,747153,747332,747325,,,,,,,,,,,
50,4,747122,747238,747216,747425,747367,747364,,,,,,,,,,,,,,,
51,2,747238,747239,747203,747421,747141,747209,747127,,,,,,,,,,,,,,
52,3,747346,747130,747350,747262,747433,747396,747435,747420,,,,,,,,,,,,,
53,3,747399,747459,747304,747425,747130,747122,747448,747408,747382,,,,,,,,,,,,
55,3,747379,747243,747209,747452,747214,747006,747346,,,,,,,,,,,,,,
56,3,747430,800001,747085,747143,747182,747138,747240,747206,747309,747158,747183,747145,747113,747418,747429,747226,747200,747277,747294,,
58,1,747212,747159,747223,747314,,,,,,,,,,,,,,,,,
59,3,747050,747064,747304,747459,,,,,,,,,,,,,,,,,
60,4,747213,747265,747237,747113,747197,747449,747346,747264,747033,747350,747017,747253,747114,747195,,,,,,,
61,5,747308,747291,747431,747066,747140,747313,747454,747106,747457,747076,747182,747269,747036,747354,747236,747105,747443,747144,747421,747270,
62,4,747043,747097,747170,747332,747243,747053,747400,747266,747225,747328,747257,747430,747226,747388,747191,747453,747054,747248,747214,,
63,8,747366,747386,747347,747032,747192,747402,747113,747354,747140,747297,747213,747074,747256,747051,747430,747450,747132,747132,,,
64,6,747357,747120,747311,747020,747374,747147,747367,747175,,,,,,,,,,,,,
65,2,747357,747211,,,,,,,,,,,,,,,,,,,
66,3,747352,747323,747004,747212,747040,747333,747337,747300,747118,747329,,,,,,,,,,,
67,4,747060,747030,747196,747043,747132,747143,747388,747105,747306,747005,747285,747269,747110,747148,747049,747445,747411,,,,
68,3,747123,747439,747401,,,,,,,,,,,,,,,,,,
69,2,747012,747181,747221,,,,,,,,,,,,,,,,,,
70,4,747449,747385,747027,747429,747146,747325,747418,747444,747371,,,,,,,,,,,,
71,3,747143,747168,747316,747126,747153,747083,747038,747246,747205,747008,747096,,,,,,,,,,
72,5,747455,747186,747226,747027,747293,747306,747053,747145,747400,747341,747144,747297,747097,747140,747390,747188,,,,,
73,3,747196,747457,747051,747292,747030,,,,,,,,,,,,,,,,
74,3,747190,747024,747094,747069,747217,747393,747291,747106,747267,747123,747414,747320,,,,,,,,,
75,2,747286,747345,747221,747231,747087,747210,747273,747095,747011,,,,,,,,,,,,
76,3,747415,747203,747239,747162,747451,747425,,,,,,,,,,,,,,,
77,2,747265,747264,747149,747379,,,,,,,,,,,,,,,,,
78,6,747270,747399,747149,747003,747448,747068,747004,747342,747085,747329,747268,,,,,,,,,,
79,4,747146,747442,747176,747418,,,,,,,,,,,,,,,,,
80,4,747030,747108,747294,747336,747166,747154,747052,747148,747326,,,,,,,,,,,,
81,3,747198,747413,747024,747125,,,,,,,,,,,,,,,,,
82,3,747438,747115,747065,,,,,,,,,,,,,,,,,,
83,1,747094,747307,,,,,,,,,,,,,,,,,,,
84,2,747132,747171,747450,747219,747313,747211,,,,,,,,,,,,,,,
85,5,747301,747347,747217,747280,747439,747290,747056,747401,747134,747362,747192,747365,,,,,,,,,
86,2,747100,747003,747288,747005,747123,747413,747437,747079,,,,,,,,,,,,,
87,3,747448,747360,747025,747183,747140,747376,747172,747149,747265,747264,747182,747186,,,,,,,,,
88,3,747033,747021,747457,,,,,,,,,,,,,,,,,,
89,4,747444,747381,747222,747142,747341,747220,747075,747156,747030,747371,747146,747257,747154,747437,747429,,,,,,
90,3,747064,747122,747399,747304,747425,747303,,,,,,,,,,,,,,,
91,2,747359,747298,,,,,,,,,,,,,,,,,,,
92,3,747290,747056,747347,,,,,,,,,,,,,,,,,,
93,6,747164,747280,747217,747290,747347,747194,747014,747154,747032,747364,747094,747134,,,,,,,,,
95,2,747409,747032,,,,,,,,,,,,,,,,,,,
96,2,747152,747028,,,,,,,,,,,,,,,,,,,
98,3,747304,747232,747433,747303,747322,747271,,,,,,,,,,,,,,,
99,4,747440,747240,747072,747341,747098,747021,747226,747049,747052,747352,747170,747261,747053,747107,,,,,,,
100,6,747220,747371,747017,747186,747070,747047,,,,,,,,,,,,,,
101,4,747181,747316,747275,747270,747182,747010,747025,,,,,,,,,,,,,
102,3,747141,747335,747371,747138,747388,747047,747003,747002,747166,747108,747123,,,,,,,,,
104,2,800002,747436,,,,,,,,,,,,,,,,,,
105,3,747459,747195,747218,,,,,,,,,,,,,,,,,
