747002,49,102,12,40,,
747003,86,78,3,102,,
747004,48,78,66,3,47,
747005,6,99,28,67,86,
747006,55,62,40,49,,
747008,3,40,71,1,28,
747010,33,9,81,78,101,
747011,11,23,75,10,,
747012,77,47,69,,,
747014,93,,,,,
747015,1,6,9,24,31,
747017,87,88,100,60,,
747020,64,,,,,
747021,49,88,33,28,99,
747024,24,81,27,1,47,
747025,61,37,101,87,,
747027,3,72,73,6,70,
747028,29,34,96,,,
747029,61,11,1,49,23,
747030,67,40,89,73,80,
747031,9,24,27,99,33,
747032,86,91,95,21,19,
747033,88,87,60,,,
747034,75,74,24,,,
747036,45,74,48,,,
747037,40,24,72,73,,
747038,40,47,71,,,
747039,33,87,40,102,,
747040,33,49,66,,,
747043,41,47,76,52,,
747047,2,102,100,99,,
747049,99,9,1,67,24,
747050,59,30,39,41,,
747051,76,92,50,88,,
747052,48,99,3,49,80,
747053,99,24,62,72,49,
747054,99,24,62,12,,
747056,6,92,85,43,,
747057,12,1,,,,
747060,67,24,,,,
747061,48,,,,,
747062,47,27,99,49,44,
747063,40,11,61,79,58,
747064,59,90,41,19,,
747065,32,82,21,,,
747066,61,,,,,
747068,78,40,47,44,,
747069,46,74,48,43,,
747070,48,49,21,100,42,
747072,99,89,,,,
747074,45,63,22,,,
747075,51,25,,,,
747076,49,31,1,61,,
747077,11,27,23,1,28,
747079,86,61,56,,,
747082,76,75,60,,,
747083,60,68,62,56,48,
747084,76,75,60,,,
747085,1,84,78,56,,
747087,75,23,11,,,
747089,2,,,,,
747093,40,,,,,
747094,43,74,83,5,93,
747095,86,90,96,14,3,
747096,9,31,71,3,6,
747097,48,88,72,62,25,
747098,99,24,3,7,,
747100,86,28,,,,
747105,61,9,1,67,47,
747106,61,72,74,,,
747107,28,99,31,,,
747108,99,80,6,9,102,
747109,7,99,31,,,
747110,7,9,40,67,77,
747112,9,33,44,40,,
747113,56,63,88,87,60,
747114,88,13,48,60,46,
747115,43,5,82,34,32,
747116,3,99,28,,,
747117,101,88,1,47,24,
747118,84,66,18,37,,
747119,46,51,86,,,
747120,64,76,33,,,
747121,47,72,21,73,40,
747122,50,53,90,38,42,
747123,68,99,86,74,102,
747124,18,40,48,37,77,
747125,49,28,27,73,81,
747126,49,28,40,71,,
747127,16,7,10,51,76,
747129,5,48,,,,
747130,53,52,98,,,
747132,84,73,67,,,
747134,86,18,42,3,14,
747135,32,29,,,,
747136,70,53,81,82,88,
747137,63,88,,,,
747138,28,102,40,44,56,
747139,88,63,,,,
747140,61,6,72,87,63,
747141,32,23,102,11,51,
747142,42,51,70,,,
747143,40,56,67,71,,
747144,48,49,,,,
747145,27,72,48,56,12,
747146,79,101,89,70,,
747147,93,37,89,,,
747148,72,73,49,59,52,
747149,48,78,49,87,77,
747150,1,61,33,,,
747152,2,96,101,,,
747153,9,71,49,1,73,
747154,48,80,9,89,93,
747156,48,89,8,28,7,
747158,62,61,63,,,
747159,83,13,5,87,95,
747162,76,51,,,,
747164,93,48,61,11,23,
747166,80,61,28,9,102,
747167,48,9,33,,,
747168,40,47,71,,,
747169,84,10,39,,,
747170,99,3,62,49,24,
747171,28,84,,,,
747172,48,61,87,,,
747173,7,31,,,,
747175,74,96,50,62,37,
747176,79,,,,,
747178,1,48,27,28,,
747179,87,,,,,
747181,101,69,45,78,93,
747182,101,7,56,61,87,
747183,7,87,56,31,,
747184,96,,,,,
747186,100,,,,,
747188,72,61,44,9,,
747190,40,44,74,9,73,
747191,40,99,1,62,,
747192,63,43,85,92,,
747193,9,12,49,,,
747194,93,9,48,,,
747195,105,83,63,60,59,
747196,67,44,27,73,40,
747197,60,87,88,63,30,
747198,9,40,101,27,81,
747200,1,62,56,48,40,
747201,49,3,1,31,33,
747203,76,42,51,16,90,
747205,40,71,81,,,
747206,49,56,99,48,28,
747209,51,39,55,19,,
747210,11,75,23,42,,
747211,84,65,46,10,39,
747212,10,49,66,58,36,
747213,32,25,21,,,
747214,62,87,37,55,,
747216,50,,,,,
747217,93,74,92,48,85,
747218,105,,,,,
747219,84,95,,,,
747220,100,48,89,,,
747221,11,29,69,75,23,
747222,49,38,89,77,88,
747223,58,84,,,,
747225,40,62,28,,,
747226,49,56,62,72,99,
747228,21,88,,,,
747229,28,99,21,47,1,
747230,9,49,18,47,,
747231,23,11,75,,,
747232,98,,,,,
747234,49,33,61,25,72,
747235,29,5,82,,,
747236,61,27,6,,,
747237,25,32,72,,,
747238,50,42,51,38,39,
747239,16,76,51,10,,
747240,99,56,21,44,9,
747241,32,,,,,
747243,24,62,25,55,,
747244,1,37,13,,,
747246,101,24,73,71,44,
747247,28,88,47,19,,
747248,49,62,,,,
747252,88,41,63,83,,
747253,88,60,59,41,63,
747254,83,87,93,,,
747255,62,,,,,
747256,84,10,,,,
747257,28,49,62,89,,
747258,40,31,9,1,,
747259,61,,,,,
747260,11,,,,,
747261,99,21,49,61,,
747262,52,,,,,
747263,1,3,49,9,47,
747264,60,37,77,87,,
747265,60,37,77,87,,
747266,49,62,9,72,,
747267,74,7,,,,
747268,92,88,73,50,82,
747269,73,88,60,48,52,
747270,61,40,1,101,78,
747271,98,,,,,
747273,1,2,3,,,
747274,99,31,,,,
747275,9,101,8,,,
747277,76,28,3,51,56,
747278,48,28,40,49,99,
747279,3,28,12,,,
747280,86,14,18,,,
747281,34,,,,,
747282,1,27,12,9,,
747283,95,1,,,,
747284,35,41,,,,
747285,67,24,11,1,9,
747286,75,11,,,,
747287,16,,,,,
747288,27,86,9,3,,
747290,86,18,92,43,42,
747291,74,92,43,61,40,
747292,40,24,7,73,,
747293,48,27,72,31,61,
747294,48,47,80,31,56,
747295,29,5,,,,
747296,48,27,61,,,
747297,71,61,48,87,63,
747298,43,39,34,91,29,
747300,66,38,,,,
747301,85,43,29,5,,
747302,34,33,,,,
747303,98,41,39,45,90,
747304,98,90,59,41,53,
747305,10,,,,,
747306,24,99,67,72,47,
747307,13,15,83,88,,
747308,61,31,5,,,
747309,28,56,,,,
747311,84,64,27,31,,
747313,6,84,61,32,27,
747314,36,26,58,98,,
747315,98,41,,,,
747316,84,27,101,40,71,
747317,24,72,61,7,,
747318,98,,,,,
747320,48,61,72,74,1,
747322,98,41,38,,,
747323,28,66,,,,
747324,1,48,21,7,,
747325,49,70,,,,
747326,49,80,,,,
747327,48,3,44,18,,
747328,62,21,28,44,,
747329,92,88,73,82,47,
747330,62,50,60,,,
747332,49,62,1,40,61,
747333,66,49,51,78,,
747334,48,6,49,,,
747335,1,102,101,,,
747336,80,49,21,27,61,
747337,66,79,,,,
747338,48,9,49,,,
747339,7,28,47,,,
747340,9,,,,,
747341,8,99,21,72,89,
747342,12,78,47,9,10,
747343,61,48,24,1,47,
747345,75,11,,,,
747346,60,88,55,13,52,
747347,93,92,43,85,63,
747349,27,40,9,47,,
747350,52,88,60,98,,
747351,42,25,21,,,
747352,66,99,,,,
747353,20,51,86,88,,
747354,48,88,61,63,27,
747355,23,11,36,43,,
747356,9,93,43,32,,
747357,64,65,84,,,
747358,12,61,40,44,,
747359,29,91,23,10,35,
747360,3,28,87,49,,
747361,7,40,49,101,,
747362,3,86,14,18,,
747364,93,98,50,,,
747365,93,43,85,,,
747366,48,63,,,,
747367,45,64,50,,,
747368,98,,,,,
747371,89,100,102,49,70,
747373,36,10,51,58,,
747374,11,9,23,43,64,
747375,8,3,6,1,9,
747376,87,37,,,,
747377,12,9,,,,
747378,9,1,,,,
747379,12,55,77,30,,
747380,6,5,,,,
747381,12,37,89,,,
747382,6,20,,,,
747384,24,9,49,,,
747385,70,90,37,98,22,
747386,26,25,21,,,
747387,9,28,,,,
747388,67,49,62,102,1,
747390,75,92,49,74,,
747391,28,3,,,,
747392,28,49,,,,
747393,74,49,28,24,,
747394,9,81,44,1,40,
747396,96,29,80,35,72,
747397,34,,,,,
747398,34,,,,,
747399,39,90,78,53,,
747400,49,72,1,62,,
747401,34,68,85,43,,
747402,22,81,84,15,,
747406,99,78,,,,
747408,7,12,53,31,93,
747409,56,95,28,21,,
747410,1,2,3,,,
747411,24,9,67,,,
747413,27,2,81,9,86,
747414,48,74,72,9,,
747415,76,41,42,,,
747416,24,1,,,,
747417,27,48,42,,,
747418,56,70,79,25,49,
747419,13,5,83,93,,
747420,88,52,,,,
747421,61,88,48,51,,
747422,43,93,82,29,,
747424,12,47,49,48,,
747425,90,76,53,50,59,
747426,27,31,1,12,7,
747429,48,56,70,49,89,
747430,40,62,31,56,,
747431,9,61,27,48,10,
747432,48,41,,,,
747433,98,13,15,52,14,
747434,43,93,30,37,88,
747435,98,13,52,14,35,
747436,13,104,15,,,
747437,61,72,86,89,24,
747438,82,32,,,,
747439,34,68,43,85,92,
747440,99,61,2,40,1,
747441,23,73,,,,
747442,79,,,,,
747443,61,,,,,
747444,89,88,87,63,70,
747445,48,61,9,67,,
747446,49,48,21,1,3,
747447,88,59,41,90,38,
747448,78,87,53,37,77,
747449,60,21,31,70,40,
747450,84,9,,,,
747451,6,1,76,21,88,
747452,55,12,,,,
747453,21,62,27,31,48,
747454,40,61,44,,,
747455,49,33,72,9,6,
747456,44,,,,,
747457,88,77,61,37,73,
747458,78,77,,,,
747459,41,105,59,53,22,
800001,56,,,,,
800002,104,13,,,,